#,"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
1,United States,"8,011,858",#ERROR!,"219,862",167,"5,141,961","2,650,035","14,751","24,165",663,"118,911,429","358,656","331,547,490"
2,India,"7,172,559",#ERROR!,"109,881",697,"6,223,372","839,306","8,944","5,183",79,"87,872,093","63,501","1,383,789,657"
3,Brazil,"5,096,209",#ERROR!,"150,555",49,"4,470,165","475,489","8,318","23,928",707,"17,900,000","84,044","212,982,744"
4,Russia,"1,312,310",#ERROR!,"22,722",125,"1,024,235","265,353","2,300","8,991",156,"51,191,309","350,740","145,952,169"
5,Spain,"918,223",#ERROR!,"33,124",65,N/A,N/A,"1,546","19,637",708,"14,590,713","312,035","46,759,903"
6,Colombia,"911,316",,"27,834",,"789,787","93,695","2,220","17,857",545,"4,173,863","81,786","51,034,004"
7,Argentina,"894,206",,"23,868",,"721,380","148,958","4,237","19,735",527,"2,225,558","49,117","45,311,598"
8,Peru,"849,371",,"33,305",,"743,969","72,097","1,210","25,661","1,006","4,077,357","123,186","33,099,165"
9,Mexico,"817,503",#ERROR!,"83,781",139,"594,180","139,542","2,391","6,322",648,"2,088,941","16,154","129,310,283"
10,France,"743,479",#ERROR!,"32,779",96,"100,828","609,872","1,448","11,383",502,"12,394,558","189,768","65,314,276"
11,South Africa,"692,471",,"17,780",,"623,765","50,926",546,"11,635",299,"4,407,441","74,054","59,516,399"
12,United Kingdom,"617,688",#ERROR!,"42,875",50,N/A,N/A,442,"9,085",631,"26,987,470","396,955","67,986,204"
13,Iran,"504,281",#ERROR!,"28,816",272,"409,121","66,344","4,533","5,983",342,"4,340,831","51,498","84,291,482"
14,Chile,"482,888",#ERROR!,"13,379",61,"454,484","15,025",785,"25,200",698,"3,729,159","194,611","19,162,070"
15,Iraq,"405,437",#ERROR!,"9,912",60,"340,050","55,475",489,"10,018",245,"2,507,551","61,962","40,469,182"
16,Bangladesh,"379,738",#ERROR!,"5,555",31,"294,391","79,792",,"2,299",34,"2,084,222","12,620","165,147,049"
17,Italy,"359,569",#ERROR!,"36,205",39,"240,600","82,764",452,"5,950",599,"12,650,155","209,313","60,436,599"
18,Philippines,"342,816",#ERROR!,"6,332",11,"293,152","43,332","1,758","3,117",58,"4,168,181","37,897","109,985,754"
19,Saudi Arabia,"339,615",348,"5,068",25,"325,839","8,708",842,"9,713",145,"7,060,483","201,937","34,963,754"
20,Turkey,"337,147",#ERROR!,"8,895",58,"295,658","32,594","1,417","3,986",105,"11,731,350","138,682","84,591,892"
21,Indonesia,"336,716",#ERROR!,"11,935",91,"258,519","66,262",,"1,227",44,"3,802,093","13,860","274,329,617"
22,Germany,"329,510",#ERROR!,"9,711",9,"276,900","42,899",590,"3,929",116,"18,129,900","216,194","83,859,444"
23,Pakistan,"319,317",385,"6,580",10,"304,185","8,552",491,"1,438",30,"3,884,796","17,494","222,070,579"
24,Israel,"293,553",#ERROR!,"2,016",36,"238,643","52,894",827,"31,916",219,"3,992,799","434,114","9,197,590"
25,Ukraine,"265,454",#ERROR!,"5,015",43,"114,410","146,029",177,"6,080",115,"2,602,635","59,613","43,658,728"
26,Canada,"182,708",844,"9,625",12,"154,238","18,845",154,"4,829",254,"8,047,974","212,714","37,834,630"
27,Netherlands,"181,498",#ERROR!,"6,596",12,N/A,N/A,277,"10,586",385,"2,656,731","154,951","17,145,573"
28,Belgium,"162,258",#ERROR!,"10,191",16,"20,272","131,795",243,"13,983",878,"3,705,273","319,315","11,603,814"
29,Romania,"157,352",#ERROR!,"5,467",56,"118,912","32,973",628,"8,195",285,"2,682,588","139,711","19,201,008"
30,Morocco,"153,761",#ERROR!,"2,636",31,"129,498","21,627",464,"4,152",71,"2,897,811","78,251","37,032,230"
31,Ecuador,"147,315",282,"12,218",27,"128,134","6,963",360,"8,315",690,"467,328","26,377","17,717,163"
32,Bolivia,"138,574",111,"8,308",16,"101,103","29,163",71,"11,827",709,"314,235","26,818","11,717,177"
33,Poland,"130,210",#ERROR!,"3,039",35,"81,201","45,970",404,"3,442",80,"3,693,108","97,611","37,834,855"
34,Qatar,"128,191",206,220,,"125,176","2,795",55,"45,655",78,"837,486","298,271","2,807,805"
35,Panama,"120,313",,"2,491",,"96,164","21,658",124,"27,763",575,"544,735","125,702","4,333,539"
36,Czechia,"119,007",#ERROR!,"1,045",58,"56,440","61,522",408,"11,107",98,"1,605,138","149,809","10,714,591"
37,Dominican Republic,"118,843",366,"2,179",6,"94,532","22,132",157,"10,925",200,"522,112","47,996","10,878,250"
38,Kuwait,"111,893",777,664,6,"103,802","7,427",139,"26,094",155,"788,705","183,931","4,288,053"
39,Nepal,"111,802",#ERROR!,645,9,"77,277","33,880",,"3,818",22,"1,191,514","40,692","29,281,110"
40,Kazakhstan,"108,831",74,"1,746",,"104,041","3,044",221,"5,777",93,"3,045,439","161,655","18,839,158"
41,United Arab Emirates,"107,293",#ERROR!,446,1,"98,555","8,292",,"10,812",45,"11,016,566","1,110,135","9,923,623"
42,Oman,"106,575",685,"1,046",8,"93,222","12,307",213,"20,727",203,"376,700","73,260","5,141,941"
43,Egypt,"104,516",,"6,052",,"97,688",776,41,"1,016",59,"135,000","1,312","102,865,105"
44,Sweden,"98,451",,"5,894",,N/A,N/A,25,"9,731",583,"1,789,328","176,865","10,116,932"
45,Guatemala,"97,826",111,"3,387",3,"87,016","7,423",5,"5,433",188,"363,714","20,199","18,006,746"
46,Japan,"89,347",435,"1,629",2,"82,113","5,605",146,707,13,"2,306,033","18,249","126,366,347"
47,Portugal,"87,913",#ERROR!,"2,094",14,"53,498","32,321",128,"8,629",206,"2,852,722","280,001","10,188,255"
48,Costa Rica,"87,439",,"1,076",,"52,669","33,694",195,"17,121",211,"257,549","50,429","5,107,110"
49,China,"85,578",21,"4,634",,"80,714",230,,59,3,"160,000,000","111,163","1,439,323,776"
50,Ethiopia,"85,136",841,"1,301",14,"38,904","44,931",230,736,11,"1,356,630","11,721","115,738,799"
51,Honduras,"84,081",935,"2,512",8,"32,012","49,557",24,"8,452",253,"194,516","19,553","9,948,132"
52,Belarus,"83,998",464,901,5,"77,423","5,674",,"8,890",95,"2,087,430","220,928","9,448,442"
53,Venezuela,"83,137",,697,,"74,664","7,776",198,"2,926",25,"1,988,486","69,985","28,413,033"
54,Bahrain,"75,614",,278,3,"71,249","4,087",57,"44,028",162,"1,548,011","901,372","1,717,395"
55,Switzerland,"64,436",#ERROR!,"2,096",8,"49,500","12,840",40,"7,430",242,"1,506,450","173,707","8,672,349"
56,Moldova,"62,618",467,"1,478",17,"44,728","16,412",819,"15,533",367,"315,165","78,180","4,031,299"
57,Uzbekistan,"61,319",221,509,4,"58,306","2,504",252,"1,825",15,"1,377,915","41,005","33,603,532"
58,Nigeria,"60,266",,"1,115",,"51,735","7,416",7,290,5,"553,037","2,665","207,530,415"
59,Singapore,"57,880",4,28,1,"57,728",124,,"9,872",5,"3,072,368","524,007","5,863,218"
60,Armenia,"56,821",370,"1,026",6,"45,891","9,904",,"19,165",346,"327,163","110,349","2,964,807"
61,Austria,"56,298",979,855,4,"44,065","11,378",97,"6,241",95,"1,822,931","202,080","9,020,826"
62,Lebanon,"54,624",#ERROR!,466,7,"23,941","30,217",185,"8,013",68,"985,791","144,613","6,816,735"
63,Algeria,"53,325",253,"1,809",8,"37,382","14,134",25,"1,210",41,,,"44,069,055"
64,Paraguay,"49,675",,"1,077",,"32,090","16,508",144,"6,941",150,"308,443","43,097","7,156,887"
65,Kyrgyzstan,"49,528",298,"1,090",5,"44,522","3,916",24,"7,557",166,"276,522","42,192","6,553,907"
66,Ghana,"47,005",,306,,"46,398",301,12,"1,504",10,"497,782","15,929","31,250,683"
67,Palestine,"44,684",385,387,6,"38,228","6,069",,"8,704",75,"458,400","89,291","5,133,781"
68,Libya,"43,821",#ERROR!,644,13,"24,466","18,711",,"6,353",93,"250,914","36,379","6,897,205"
69,Ireland,"43,351",823,"1,827",1,"23,364","18,160",32,"8,752",369,"1,341,474","270,833","4,953,142"
70,Azerbaijan,"42,104",122,609,,"39,404","2,091",,"4,142",60,"1,180,271","116,115","10,164,706"
71,Kenya,"41,619",73,777,11,"32,000","8,842",,769,14,"593,199","10,966","54,095,241"
72,Afghanistan,"39,870",71,"1,479",2,"33,118","5,273",93,"1,018",38,"114,997","2,936","39,167,927"
73,Hungary,"38,837",#ERROR!,968,14,"11,037","26,832",154,"4,023",100,"834,097","86,405","9,653,380"
74,Serbia,"34,854",67,765,2,"31,536","2,553",20,"3,994",88,"1,199,799","137,476","8,727,348"
75,Denmark,"32,811",389,671,2,"26,741","5,399",19,"5,659",116,"4,393,640","757,792","5,797,948"
76,Tunisia,"32,556",,478,,"5,032","27,046",138,"2,747",40,"276,002","23,285","11,853,087"
77,Bosnia and Herzegovina,"30,837",190,936,8,"23,587","6,314",,"9,416",286,"262,637","80,195","3,274,989"
78,El Salvador,"30,196",,894,4,"25,438","3,864",29,"4,649",138,"422,858","65,101","6,495,403"
79,Myanmar,"29,314",#ERROR!,664,18,"10,260","18,390",,538,12,"428,668","7,864","54,512,056"
80,Australia,"27,285",20,898,,"24,998","1,389",1,"1,067",35,"8,015,502","313,323","25,582,199"
81,Jordan,"26,073",#ERROR!,207,16,"6,219","19,647",55,"2,548",20,"1,439,205","140,666","10,231,389"
82,S. Korea,"24,703",97,433,1,"22,729","1,541",87,482,8,"2,415,610","47,105","51,281,663"
83,Bulgaria,"24,402",,892,,"15,847","7,663",62,"3,519",129,"573,004","82,643","6,933,476"
84,Greece,"22,652",294,456,7,"9,989","12,207",91,"2,176",44,"1,429,670","137,356","10,408,537"
85,Cameroon,"21,203",,423,,"20,117",663,61,793,16,"149,000","5,575","26,725,710"
86,North Macedonia,"21,113",176,797,5,"16,301","4,015",4,"10,134",383,"208,669","100,160","2,083,350"
87,Croatia,"20,621",181,327,3,"17,582","2,712",27,"5,032",80,"360,976","88,085","4,098,036"
88,Slovakia,"20,355",504,61,,"6,031","14,263",48,"3,728",11,"552,447","101,174","5,460,390"
89,Ivory Coast,"20,154",,120,,"19,798",236,,759,5,"173,214","6,523","26,556,096"
90,Madagascar,"16,726",8,237,,"16,081",408,19,600,8,"75,210","2,697","27,884,498"
91,Malaysia,"16,220",563,159,2,"11,022","5,039",98,499,5,"1,627,612","50,109","32,481,150"
92,Norway,"15,585",61,276,1,"11,863","3,446",5,"2,869",51,"1,158,338","213,200","5,433,105"
93,Albania,"15,570",171,424,4,"9,585","5,561",16,"5,412",147,"95,199","33,091","2,876,906"
94,Zambia,"15,549",91,345,8,"14,682",522,,839,19,"188,804","10,193","18,523,331"
95,Senegal,"15,292",24,315,1,"13,390","1,587",6,907,19,"189,887","11,260","16,863,717"
96,Montenegro,"14,050",181,211,9,"9,920","3,919",20,"22,369",336,"77,484","123,365","628,089"
97,Sudan,"13,685",,836,,"6,764","6,085",,310,19,,,"44,128,647"
98,Georgia,"12,272",478,93,8,"6,538","5,641",,"3,078",23,"706,806","177,278","3,986,993"
99,Finland,"12,212",214,346,,"8,500","3,366",10,"2,203",62,"1,190,927","214,847","5,543,152"
100,Namibia,"11,936",,128,,"9,817","1,991",7,"4,674",50,"109,829","43,010","2,553,573"
101,Guinea,"11,022",,69,,"10,324",629,24,833,5,"34,308","2,593","13,229,375"
102,Maldives,"10,894",,35,,"9,742","1,117",12,"20,056",64,"150,743","277,526","543,167"
103,DR Congo,"10,868",17,276,,"10,249",343,,120,3,,,"90,295,401"
104,Tajikistan,"10,260",38,79,,"9,103","1,078",,"1,069",8,,,"9,596,192"
105,French Guiana,"10,180",10,69,,"9,855",256,6,"33,845",229,"69,994","232,704","300,785"
106,Mozambique,"10,088",87,72,1,"7,550","2,466",,320,2,"155,202","4,928","31,492,481"
107,Uganda,"9,864",63,94,1,"6,109","3,661",,214,2,"508,899","11,032","46,129,601"
108,Luxembourg,"9,731",9,133,1,"8,234","1,364",1,"15,476",212,"897,152","1,426,791","628,790"
109,Haiti,"8,882",,230,,"7,104","1,548",,776,20,"29,115","2,545","11,441,165"
110,Gabon,"8,835",,54,,"8,189",592,3,"3,944",24,"198,364","88,553","2,240,060"
111,Slovenia,"8,832",169,169,2,"5,219","3,444",26,"4,248",81,"260,111","125,112","2,079,019"
112,Zimbabwe,"8,011",,230,,"6,504","1,277",,537,15,"161,525","10,824","14,922,836"
113,Jamaica,"7,813",95,146,7,"3,237","4,430",20,"2,635",49,"85,322","28,778","2,964,803"
114,Mauritania,"7,550",,163,,"7,274",113,3,"1,612",35,"82,098","17,532","4,682,842"
115,Cabo Verde,"7,072",,75,,"5,981","1,016",23,"12,681",134,"87,076","156,143","557,669"
116,Guadeloupe,"6,483",,77,,"2,199","4,207",35,"16,202",192,"59,202","147,952","400,143"
117,Angola,"6,366",,218,,"2,743","3,405",10,192,7,"85,213","2,571","33,141,527"
118,Lithuania,"6,248",126,103,,"2,793","3,352",15,"2,304",38,"844,742","311,561","2,711,324"
119,Cuba,"6,000",22,123,,"5,574",303,1,530,11,"699,646","61,781","11,324,657"
120,Malawi,"5,824",3,180,,"4,659",985,4,302,9,"56,034","2,909","19,264,273"
121,Eswatini,"5,683",14,113,,"5,322",248,11,"4,884",97,"45,570","39,166","1,163,513"
122,Djibouti,"5,423",,61,,"5,355",7,,"5,467",61,"79,257","79,898","991,979"
123,Nicaragua,"5,264",,153,,"4,225",886,,792,23,,,"6,646,472"
124,Hong Kong,"5,194",11,105,,"4,921",168,8,691,14,"3,473,928","462,328","7,513,995"
125,Congo,"5,118",,90,,"3,887","1,141",,921,16,,,"5,555,071"
126,Trinidad and Tobago,"5,101",,90,,"3,252","1,759",14,"3,642",64,"33,013","23,568","1,400,765"
127,Bahamas,"5,078",,107,,"2,900","2,071",112,"12,879",271,"24,502","62,142","394,293"
128,Equatorial Guinea,"5,063",,83,,"4,894",86,2,"3,577",59,"62,615","44,240","1,415,356"
129,Suriname,"5,051",,107,,"4,845",99,5,"8,589",182,"15,620","26,560","588,100"
130,Rwanda,"4,896",,31,,"3,606","1,259",,375,2,"518,988","39,801","13,039,619"
131,CAR,"4,854",,62,,"1,924","2,868",2,"1,000",13,"32,711","6,740","4,852,912"
132,Sri Lanka,"4,844",92,13,,"3,317","1,514",,226,0.6,"328,504","15,323","21,438,515"
133,Syria,"4,718",,224,,"1,296","3,198",,268,13,,,"17,616,485"
134,Réunion,"4,624",133,17,1,"3,994",613,17,"5,154",19,"35,419","39,482","897,102"
135,Aruba,"4,197",3,33,,"3,790",374,12,"39,263",309,"34,905","326,538","106,894"
136,Mayotte,"4,030",41,43,,"2,964","1,023",4,"14,675",157,"13,000","47,340","274,609"
137,Estonia,"3,883",18,68,,"2,967",848,1,"2,927",51,"233,241","175,794","1,326,787"
138,Somalia,"3,864",,99,,"3,089",676,,241,6,,,"16,013,278"
139,Malta,"3,844",68,43,2,"2,981",820,9,"8,699",97,"282,095","638,405","441,875"
140,Thailand,"3,641",5,59,,"3,454",128,1,52,0.8,"977,854","13,999","69,849,390"
141,Gambia,"3,632",,117,,"2,543",972,,"1,492",48,"18,043","7,410","2,435,044"
142,Iceland,"3,582",56,10,,"2,550","1,022",3,"10,478",29,"310,144","907,215","341,864"
143,Botswana,"3,515",296,20,2,853,"2,642",1,"1,486",8,"238,334","100,790","2,364,654"
144,Guyana,"3,469",,103,,"2,318","1,048",16,"4,404",131,"15,963","20,267","787,619"
145,Mali,"3,286",,132,,"2,527",627,,161,6,"60,751","2,977","20,408,512"
146,South Sudan,"2,787",10,55,,"1,290","1,442",,248,5,"12,044","1,072","11,230,230"
147,Latvia,"2,765",95,40,,"1,325","1,400",4,"1,471",21,"364,012","193,603","1,880,201"
148,French Polynesia,"2,754",,10,,"2,019",725,7,"9,788",36,"26,355","93,669","281,364"
149,Andorra,"2,696",,55,,"1,814",827,25,"34,877",712,"137,457","1,778,228","77,300"
150,Belize,"2,531",35,37,1,"1,548",946,5,"6,334",93,"17,663","44,200","399,615"
151,Benin,"2,411",,41,,"1,973",397,,197,3,"203,831","16,695","12,209,431"
152,Guinea-Bissau,"2,385",,40,,"1,728",617,5,"1,204",20,,,"1,980,688"
153,Sierra Leone,"2,306",,72,,"1,736",498,,287,9,,,"8,021,477"
154,Uruguay,"2,294",,50,,"1,942",302,2,660,14,"264,087","75,950","3,477,121"
155,Burkina Faso,"2,280",9,63,2,"1,554",663,,108,3,,,"21,058,597"
156,Yemen,"2,052",,595,,"1,329",128,,68,20,,,"30,005,627"
157,Cyprus,"2,006",,25,,"1,444",537,2,"1,658",21,"415,095","343,104","1,209,821"
158,Togo,"1,940",,49,,"1,457",434,,233,6,"101,086","12,133","8,331,665"
159,New Zealand,"1,871",,25,,"1,801",45,,374,5,"1,002,790","200,474","5,002,100"
160,Martinique,"1,851",,22,,98,"1,731",14,"4,934",59,"39,379","104,959","375,183"
161,Lesotho,"1,805",,42,,961,802,,841,20,"20,909","9,739","2,147,001"
162,Liberia,"1,363",,82,,"1,245",36,2,268,16,"30,332","5,959","5,090,112"
163,Chad,"1,304",,92,,"1,115",97,,79,6,,,"16,553,305"
164,Niger,"1,201",,69,,"1,123",9,9,49,3,"28,191","1,153","24,440,409"
165,Vietnam,"1,110",1,35,,"1,025",50,,11,0.4,"1,246,480","12,774","97,583,242"
166,Sao Tome and Principe,929,,15,,892,22,,"4,217",68,"5,349","24,283","220,279"
167,San Marino,741,,42,,682,17,3,"21,826","1,237","7,895","232,541","33,951"
168,Diamond Princess,712,,13,,659,40,4,,,,,
169,Sint Maarten,710,3,22,,622,66,6,"16,507",511,"4,701","109,298","43,011"
170,Channel Islands,699,,48,,623,28,2,"4,010",275,"127,554","731,761","174,311"
171,Turks and Caicos,696,,6,,672,18,1,"17,910",154,"3,671","94,462","38,862"
172,Curaçao,583,,1,,315,267,2,"3,549",6,"9,148","55,685","164,282"
173,Papua New Guinea,565,11,7,,537,21,,63,0.8,"26,620","2,960","8,993,618"
174,Taiwan,529,2,7,,489,33,,22,0.3,"96,859","4,065","23,828,949"
175,Burundi,525,1,1,,472,52,,44,0.08,"37,522","3,130","11,986,354"
176,Tanzania,509,,21,,183,305,7,8,0.3,,,"60,194,425"
177,Comoros,495,,7,,475,13,,566,8,,,"874,674"
178,Gibraltar,486,1,,,419,67,2,"14,427",,"53,530","1,588,993","33,688"
179,Faeroe Islands,477,,,,461,16,,"9,752",,"139,538","2,852,663","48,915"
180,Saint Martin,466,,8,,309,149,11,"11,995",206,"5,170","133,083","38,848"
181,Eritrea,414,,,,372,42,,116,,,,"3,560,028"
182,Mauritius,404,9,10,,359,35,,318,8,"253,248","199,037","1,272,364"
183,Isle of Man,346,,24,,316,6,,"4,063",282,"14,387","168,943","85,159"
184,Mongolia,318,2,,,310,8,1,97,,"77,797","23,626","3,292,872"
185,Bhutan,309,3,,,288,21,,399,,"151,215","195,375","773,974"
186,Cambodia,283,,,,278,5,,17,,"154,364","9,198","16,783,110"
187,Monaco,234,,2,,209,23,1,"5,951",51,"51,953","1,321,287","39,320"
188,Cayman Islands,221,,1,,211,9,,"3,352",15,"41,166","624,323","65,937"
189,Barbados,208,,7,,186,15,,724,24,"27,773","96,610","287,474"
190,Bermuda,184,,9,,170,5,,"2,958",145,"71,024","1,141,626","62,213"
191,Caribbean Netherlands,148,,2,,78,68,,"5,629",76,"2,857","108,668","26,291"
192,Liechtenstein,148,,1,,124,23,,"3,879",26,900,"23,586","38,159"
193,Seychelles,148,,,,144,4,,"1,502",,"5,200","52,782","98,518"
194,Brunei,146,,3,,143,0,,333,7,"62,395","142,244","438,648"
195,Antigua and Barbuda,111,,3,,97,11,,"1,131",31,"3,035","30,920","98,156"
196,British Virgin Islands,71,,1,,70,0,,"2,344",33,"5,193","171,460","30,287"
197,St. Barth,65,,,,37,28,,"6,576",,"2,668","269,904","9,885"
198,St. Vincent Grenadines,64,,,,64,0,,576,,"5,495","49,487","111,039"
199,Macao,46,,,,46,0,,71,,"4,238","6,502","651,790"
200,Fiji,32,,2,,28,2,1,36,2,"11,318","12,600","898,265"
201,Dominica,32,,,,24,8,,444,,"2,612","36,260","72,036"
202,Saint Lucia,29,,,,27,2,,158,,"8,715","47,399","183,863"
203,Timor-Leste,29,1,,,28,1,,22,,"9,043","6,823","1,325,347"
204,New Caledonia,27,,,,27,0,,94,,"14,585","50,949","286,264"
205,Grenada,24,,,,24,0,,213,,"6,252","55,489","112,670"
206,Laos,23,,,,22,1,,3,,"58,078","7,951","7,304,796"
207,Vatican City,19,7,,,12,7,,"23,691",,,,802
208,Saint Kitts and Nevis,19,,,,18,1,,356,,"2,604","48,852","53,304"
209,Greenland,16,,,,14,2,,282,,"8,879","156,326","56,798"
210,Saint Pierre Miquelon,16,,,,12,4,,"2,765",,"2,144","370,550","5,786"
211,Montserrat,13,,1,,12,0,,"2,604",200,483,"96,735","4,993"
212,Falkland Islands,13,,,,13,0,,"3,707",,"2,682","764,756","3,507"
213,Western Sahara,10,,1,,8,1,,17,2,,,"601,338"
214,MS Zaandam,9,,2,,,7,,,,,,
215,Anguilla,3,,,,3,0,,199,,"1,329","88,364","15,040"
216,Solomon Islands,2,,,,,2,,3,,96,139,"691,471"
,Total:,"37,966,696",#ERROR!,"1,084,084",#ERROR!,"28,491,175","8,391,437","68,905","4,870.80",139.1,,,